email_id,folder_pretty
0,Work
1,Promotions
2,Security & Passwords
3,Personal
4,Shopping & Receipts
5,News & Alerts
6,Social Media
7,Work
8,Newsletters
9,Promotions
10,Shopping & Receipts
11,Work
12,Promotions
13,Life Tracking
14,Personal
15,News & Alerts
16,Security & Passwords
17,Promotions
18,Shopping & Receipts
19,Promotions
20,Personal
21,Security & Passwords
22,Life Tracking
23,Social Media
24,News & Alerts
25,Work
26,Promotions
27,Security & Passwords
28,Shopping & Receipts
29,Social Media
30,Work
31,Work
32,Work
33,Social Media
34,News & Alerts
35,Security & Passwords
36,Social Media
37,Online Coursework
38,Work
39,News & Alerts
40,Promotions
41,Online Coursework
42,Shopping & Receipts
43,Shopping & Receipts
44,Life Tracking
45,Personal
46,News & Alerts
47,Work
48,Promotions
49,Shopping & Receipts
50,Social Media
51,Work
52,Shopping & Receipts
53,Newsletters
54,Newsletters
55,Newsletters
56,Newsletters
57,Shopping & Receipts
58,Shopping & Receipts
59,Shopping & Receipts
60,Shopping & Receipts
61,Shopping & Receipts
62,Shopping & Receipts
63,Shopping & Receipts
64,Social Media
65,Shopping & Receipts
66,Shopping & Receipts
67,Personal
