email_id,folder_pretty
0,art comm
1,art comm
2,art comm
3,personal
4,personal
5,calendar
6,personal
7,deleted items > sempra
8,americas > esvl
9,personal
10,calendar
11,deleted items > sempra
12,deleted items > sempra
13,art comm
14,deleted items > sempra
15,americas > esvl
16,americas > regulatory
17,art comm
18,americas > mrha > ooc
19,personal
20,americas > hr
21,california
22,americas > regulatory
23,art comm
24,california
25,personal
26,california
27,california
28,art comm
29,personal
30,california
31,global mkts
32,americas > esvl
33,americas > it
34,americas > business plans
35,americas > gas
36,americas > esvl
