email_id,folder_pretty
0,miscellaneous > asset group
1,archive > 7 00
2,archive > 11 99
3,west bank
4,archive > 2001/06
5,archive > 2001/10
6,glover
7,pacific virgo
8,online trading
9,gas > brazos
10,archive > 8 00
11,archive > 8 00
12,dpc lng
13,calendar
14,archive > 7 00
15,westinghouse
16,virus alerts
17,iso pricecaps
18,dabhol
19,japan
20,policy
21,vpp
22,hickerson
23,master netting
24,oslo
25,general stuff
26,stored messages
27,stored messages
28,pacific valour
29,pacific valour
30,epmi  power
31,australia trading
32,online trading
33,credit
34,miscellaneous > asset group
35,international
36,archive > 2001/10
37,calendar
38,dpc lng
39,pacific virgo
40,outlook migration
41,resumes for recruiting
42,resumes for recruiting
43,miscellaneous > cle
44,enron news
45,archive > 5 00
46,archive > 9 00
47,c: > technote > mail > techmemos
48,name change merger
49,policy
50,riskratings
51,general stuff
52,important e mails
53,legal
54,miscellaneous > cle
55,master netting
56,archive > 9 00
57,outlook migration
58,name change merger
59,archive > 11 99
60,uk trading
61,archive > 2 00
62,misc
