email_id,folder_pretty
0,corporate comm
1,sitara
2,deal communication > ctpy name changes
3,deal communication > ctpy name changes
4,deal communication > ctpy name changes
5,corporate comm
6,corporate comm
7,deal communication > ctpy name changes
8,deal communication > ctpy name changes
9,logistics
10,corporate comm
11,deal communication > ctpy name changes
12,corporate comm
13,deal communication > deal discrepancies
14,corporate comm
15,sitara
16,eol & tagg
17,archive > 5 00
18,deal communication > ctpy name changes
19,deal communication > ctpy name changes
20,enron news
21,logistics
22,corporate comm
23,logistics
24,corporate comm
25,corporate comm
26,corporate comm
27,sitara
28,logistics
29,corporate comm
30,deal communication > ctpy name changes
31,logistics
32,deal communication > ctpy name changes
33,deal communication > ctpy name changes
34,eol & tagg
35,deal communication > ctpy name changes
36,corporate comm
