email_id,folder_pretty
0,california legal issues
1,senator dunn inv
2,iso/ pricecaps
3,california issues
4,americas > sec
5,ees neg ctc
6,california issues
7,ferc
8,ees neg ctc
9,iso/ pricecaps
10,california
11,americas > sec
12,california issues
13,iso/ pricecaps
14,california issues
15,senator dunn inv
16,california
17,pg&eplanofreorg
18,senator dunn inv
19,americas > sec
20,california issues
21,senator dunn inv
22,senator dunn inv
23,california legal issues
24,senator dunn inv
25,california issues
26,senator dunn inv
27,senator dunn inv
28,senator dunn inv
29,senator dunn inv
30,california legal issues
31,california issues
32,california issues
33,california
34,california issues
35,california issues
36,senator dunn inv
37,california issues
