email_id,folder_pretty
0,ene portland > belden
1,ene portland > risk reports
2,ene portland > administrative
3,ene portland > administrative
4,ene portland > risk reports
5,ene portland > belden
6,hr
7,ferc
8,ene portland > risk reports
9,hr
10,ene portland > administrative
11,ene portland > belden
12,hr
13,ene portland > belden
14,ene portland > administrative
15,ene portland > risk reports
16,ene portland > belden
17,ene portland > risk reports
18,ene portland > belden
19,americas > portland
20,ene portland > belden
21,hr
22,ene portland > belden
23,hr
24,stuff
25,hr
26,ene portland > belden
27,ene portland > belden
28,stuff
29,hr
30,senator dunn inv
31,hr
32,hr
33,ene portland > administrative
34,hr
35,ene portland > risk reports
36,ene portland > administrative
37,chris stokley > volume mang
38,ene portland > belden
39,hr
