email_id,folder_pretty
0,personal
1,e mail bin
2,enron t&s
3,e mail bin
4,personal
5,tw lft
6,personal
7,e mail bin
8,e mail bin
9,e mail bin
10,e mail bin
11,enron t&s
12,tw commercial group
13,tw commercial group
14,tw commercial group
15,sempra
16,e mail bin
17,e mail bin
18,systems
19,systems
20,tw  marketing
21,tw commercial group
22,personal
23,e mail bin
24,personal
25,tw commercial group
26,tw commercial group
27,e mail bin
28,tw commercial group
29,tw commercial group
30,tw commercial group
31,systems
32,misc tw
33,e mail bin
34,tw commercial group
