email_id,folder_pretty
0,24 hr power
1,24 hr power
2,power > 24 hour
3,power > 24 hour
4,personal > letters
5,24 hr power
6,power > 24 hour
7,power > 24 hour
8,power > 24 hour
9,24 hr power
10,power > cinergy index
11,personal > jokes
12,power > 24 hour
13,24 hr power
14,power > 24 hour
15,power > 24 hour
16,24 hr power
17,power > 24 hour
18,24 hr power
19,24 hr power
20,power > 24 hour
21,power > 24 hour
22,power > 24 hour
23,24 hr power
24,24 hr power
25,24 hr power
26,personal > jokes
27,24 hr power
28,24 hr power
29,power > 24 hour
30,24 hr power
31,power > 24 hour
32,power > 24 hour
33,power > 24 hour
34,power > 24 hour
35,power > 24 hour
36,24 hr power
37,power > 24 hour
38,power > 24 hour
39,24 hr power
