email_id,folder_pretty
0,tw commercial group
1,e mail bin
2,tw accounts > usgt
3,e mail bin
4,tw
5,e mail bin
6,e mail bin
7,tw commercial group
8,tw commercial group
9,tw commercial group
10,e mail bin
11,tw commercial group
12,tw accounts > usgt
13,tw commercial group
14,e mail bin
15,tw commercial group
16,misc tw
17,e mail bin
18,tw lft
19,tw commercial group
20,e mail bin
21,e mail bin
22,tw commercial group
23,e mail bin
24,tw commercial group
25,tw
26,tw commercial group
27,e mail bin
28,tw commercial group
29,tw commercial group
30,e mail bin
31,tw commercial group
32,questar
33,e mail bin
34,e mail bin
