email_id,folder_pretty
0,genco jv/ipo
1,americas > asset marketing
2,americas > east power
3,americas > east power
4,americas > asset marketing
5,genco jv ipo
6,genco jv ipo
7,genco jv ipo
8,westinghouse
9,genco jv ipo
10,genco jv ipo
11,genco jv ipo
12,genco jv ipo
13,ctg deals
14,genco jv ipo
15,genco jv ipo
16,genco jv ipo
17,kn energy
18,genco jv ipo
19,americas > asset marketing
20,genco jv ipo
21,americas > east power
22,americas > asset marketing
23,westinghouse
24,americas > asset marketing
25,genco jv ipo
26,genco jv ipo
