email_id,folder_pretty
0,unify
1,ces
2,wellhead
3,c: > technote > mail > projects
4,ces
5,ces
6,sitara
7,ces
8,logistics
9,ces
10,logistics
11,wellhead
12,wellhead
13,cleburne plant  cornhusker
14,wellhead
15,logistics
16,logistics
17,wellhead
18,logistics
19,ces
20,logistics
21,logistics
22,wellhead
23,logistics
24,logistics
25,industrials
26,unify
27,ces
28,wellhead
29,ces
30,logistics
31,logistics
32,industrials
33,ces
34,industrials
35,unify
36,wellhead
37,unify
38,wellhead
39,ces
40,enron news
41,unify
42,wellhead
43,ces
