email_id,folder_pretty
0,california crisis press
1,heat wave
2,heat wave
3,heat wave
4,california crisis press
5,california crisis press
6,rto
7,california
8,heat wave
9,heat wave
10,california crisis press
11,california
12,heat wave
13,california crisis press
14,california crisis press
15,california crisis press
16,heat wave
17,my personal
18,california crisis press
19,california crisis press
20,california crisis press
21,heat wave
22,california crisis press
23,california crisis press
24,heat wave
25,california crisis press
26,heat wave
27,heat wave
28,heat wave
29,heat wave
30,california crisis press
31,california crisis press
32,presentations
33,california crisis press
34,heat wave
35,heat wave
36,heat wave
