email_id,folder_pretty
0,industrials
1,logistics
2,industrials
3,industrials
4,resumes
5,logistics
6,industrials
7,industrials
8,industrials
9,entelligence
10,logistics
11,personal
12,wellhead
13,personal
14,industrials
15,resumes
16,entex
17,resumes
18,logistics
19,logistics
20,industrials
21,industrials
22,wellhead
23,logistics
24,resumes
25,logistics
26,wellhead
27,resumes
28,gas > hpl customers
29,logistics
30,tufco
31,industrials
32,wellhead
33,industrials
34,tufco
35,logistics
36,resumes
37,logistics
38,wellhead
39,logistics
