email_id,folder_pretty
0,california
1,california
2,california crisis
3,california
4,california
5,california  excess profits tax
6,california
7,legislation
8,california
9,california
10,california
11,california
12,california
13,california
14,legislation
15,california
16,california  excess profits tax
17,california legal issues
18,california  excess profits tax
19,california
20,california
21,california  excess profits tax
22,california  excess profits tax
23,legislation
24,legislation
25,legislation
26,california
27,california
28,california  working group
