email_id,folder_pretty
0,scheduling
1,baughman jr don > power > legal agreements
2,read
3,baughman jr don > power > legal agreements
4,baughman jr don > power > legal agreements
5,holdens
6,baughman jr don > power > legal agreements
7,baughman jr don > power > legal agreements
8,read
9,read
10,baughman jr don > power > legal agreements
11,holdens
12,baughman jr don > power > legal agreements
13,baughman jr don > power > legal agreements
14,read
15,holdens
16,baughman jr don > power > legal agreements
17,read
18,holdens
19,read
20,read
21,read
22,outbox > personal
23,preschedule
24,baughman jr don > power > legal agreements
25,baughman jr don > power > legal agreements
26,scheduling
27,read
28,baughman jr don > power > legal agreements
29,hr
30,holdens
31,read
32,read
33,holdens
34,transmission
35,read
