email_id,folder_pretty
0,bankrupt > cleburne/lone star
1,bankrupt > juniper
2,bankrupt > cleburne/lone star
3,bankrupt > cleburne/lone star
4,bankrupt > juniper
5,bankrupt > transport
6,bankrupt > cleburne/lone star
7,pipeline info
8,pipeline info
9,personal
10,pipeline info
11,bankrupt > cleburne/lone star
12,bankrupt > juniper
13,pipeline info
14,bankrupt > juniper
15,bankrupt > juniper
16,pipeline info
17,pipeline info
18,bankrupt > juniper
19,pipeline info
20,bankrupt > juniper
21,bankrupt > cleburne/lone star
22,bankrupt > juniper
23,bankrupt > juniper
24,pipeline info
25,bankrupt > juniper
26,bankrupt > cleburne/lone star
27,pipeline info
28,bankrupt > cleburne/lone star
29,bankrupt > cleburne/lone star
30,bankrupt > juniper
31,bankrupt > transport > ena upstream
32,bankrupt > cleburne/lone star
33,pipeline info
34,bankrupt > juniper
35,bankrupt > cleburne/lone star
36,bankrupt > cleburne/lone star
37,bankrupt > cleburne/lone star
38,bankrupt > juniper
39,pipeline info
40,bankrupt > juniper
41,bankrupt > cleburne/lone star
42,bankrupt > cleburne/lone star
43,bankrupt > juniper
44,pipeline info
45,bankrupt > juniper
46,bankrupt > cleburne/lone star
