email_id,folder_pretty
0,lm6000
1,lm6000
2,americas > tech services
3,off balance sheet form contracts
4,ge general
5,citibank
6,off balance sheet form contracts
7,lm6000
8,off balance sheet form contracts
9,lm6000
10,lm6000
11,ge general
12,off balance sheet form contracts
13,off balance sheet form contracts
14,coral
15,off balance sheet form contracts
16,ge general
17,lm6000
18,lm6000
19,lm6000
20,citibank
21,off balance sheet form contracts
22,ge general
23,panda
24,lm6000
25,americas > east power
26,off balance sheet form contracts
27,lm6000
28,citibank
29,citibank
30,lm6000
31,panda
32,off balance sheet form contracts
33,blue dog
34,citibank
35,off balance sheet form contracts
36,coral
37,off balance sheet form contracts
