email_id,folder_pretty
0,tw commercial group
1,enron t&s
2,hea nesa
3,tw commercial group
4,tw commercial group
5,hea nesa
6,tw commercial group
7,tw commercial group
8,tw commercial group
9,tw commercial group
10,personal
11,tw commercial group
12,hea nesa
13,tw commercial group
14,personal
15,tw commercial group
16,hea nesa
17,personal
18,tw commercial group
19,tw commercial group
20,hea nesa
21,hea nesa
22,personal
23,tw commercial group
24,tw commercial group
25,tw commercial group
26,tw commercial group
27,tw commercial group
28,hea nesa
29,tw commercial group
30,hea nesa
31,tw commercial group
32,tw commercial group
33,hea nesa
34,hea nesa
35,hea nesa
36,hea nesa
37,personal
38,hea nesa
39,tw commercial group
40,tw commercial group
41,personal
42,tw commercial group
43,hea nesa
44,personal
45,tw commercial group
46,tw commercial group
