email_id,folder_pretty
0,california crisis press
1,japan
2,japan
3,california crisis press
4,california crisis press
5,california crisis press
6,heat wave
7,japan
8,presentations
9,california crisis press
10,japan
11,presentations
12,california crisis press
13,heat wave
14,japan
15,california crisis press
16,japan
17,heat wave
18,japan
19,california crisis press
20,japan
21,heat wave
22,heat wave
23,heat wave
24,heat wave
25,organizational issues
26,japan
27,archive > 2001/07
28,japan
29,heat wave
30,california crisis press
31,heat wave
32,california crisis press
33,heat wave
34,global > japan
35,california crisis press
36,global > japan
37,japan
38,heat wave
39,japan
40,global > japan
41,value
42,heat wave
43,california crisis press
