email_id,folder_pretty
0,entex
1,wellhead
2,industrials
3,cleburne plant  cornhusker
4,first delivery
5,cleburne plant  cornhusker
6,industrials
7,resumes
8,logistics
9,industrials
10,resumes
11,entex
12,wellhead
13,enron news
14,logistics
15,cleburne plant  cornhusker
16,personal
17,logistics
18,wellhead
19,cleburne plant  cornhusker
20,cleburne plant  cornhusker
21,cleburne plant  cornhusker
22,industrials
23,industrials
24,enron news
25,resumes
26,cleburne plant  cornhusker
27,industrials
28,resumes
29,cleburne plant  cornhusker
30,logistics
31,enron news
32,industrials
33,logistics
34,cleburne plant  cornhusker
35,logistics
36,wellhead
37,resumes
38,logistics
39,resumes
40,wellhead
41,logistics
42,logistics
43,cleburne plant  cornhusker
44,logistics
45,industrials
46,resumes
47,industrials
48,wellhead
49,wellhead
50,logistics
