email_id,folder_pretty
0,eesirenewableenergy
1,internal communications
2,national campaign
3,eesirenewableenergy
4,texas
5,eesirenewableenergy
6,eesirenewableenergy
7,lisa j
8,eesirenewableenergy
9,eesirenewableenergy
10,eesirenewableenergy
11,eesirenewableenergy
12,eesirenewableenergy
13,eesirenewableenergy
14,lisa j
15,eesirenewableenergy
16,eesirenewableenergy
17,lisa j
18,eesirenewableenergy
19,mary schoen
20,lisa j
21,eesirenewableenergy
22,mary schoen
23,mary schoen
24,eesirenewableenergy
25,eesirenewableenergy
