email_id,folder_pretty
0,cleburne plant  cornhusker
1,logistics
2,cleburne plant  cornhusker
3,pan energy swap
4,logistics
5,cleburne plant  cornhusker
6,logistics
7,wellhead
8,performance
9,logistics
10,cleburne plant  cornhusker
11,wellhead
12,cleburne plant  cornhusker
13,ces
14,cleburne plant  cornhusker
15,pan energy swap
16,wellhead
17,cleburne plant  cornhusker
18,logistics
19,pan energy swap
20,cleburne plant  cornhusker
21,unify
22,logistics
23,cleburne plant  cornhusker
24,pan energy swap
25,pan energy swap
26,pan energy swap
27,logistics
28,logistics
29,cleburne plant  cornhusker
30,pan energy swap
31,pan energy swap
32,pan energy swap
33,personal
34,cleburne plant  cornhusker
35,logistics
36,logistics
37,logistics
38,tufco
39,wellhead
40,pan energy swap
41,pan energy swap
