city,name,room_type,price,minimum_nights,num_reviews,house_rules,maximum_occupancy
Christiansted,Beautiful room upper city.,Private room,131.0,1.0,2.0,No smoking,1
Laredo,Roomy and comftable room,Private room,548.0,10.0,5.0,No children under 10 & No parties,2
Louisville,Big room with bath & balco in bk!,Private room,1123.0,1.0,4.0,No parties,2
Greensboro,4a-,Entire home/apt,225.0,30.0,4.0,No pets,3
Cape Girardeau,Nice and comfortable private room,Private room,761.0,2.0,1.0,No smoking & No parties,2
State College,"☆  huge, sunlit room - 3 min walk from train !",Private room,412.0,29.0,3.0,No smoking & No visitors,1
Peoria,"Artful uws king room - near park, museums",Private room,219.0,1.0,5.0,No smoking,2
Roswell,Huge bedroom - neighborhood - city,Private room,60.0,2.0,4.0,No children under 10,2
Monroe,Columbus circle single bedroom,Private room,333.0,7.0,1.0,No children under 10 & No parties,1
Norfolk,Simple spacious rm near queens center mall & pd,Private room,311.0,30.0,2.0,No visitors & No parties,2
Pocatello,Entire modern studio apartment/prime location,Entire home/apt,1109.0,30.0,1.0,No parties & No smoking,5
College Station,Home: cozy secure convenient 12 min to city舒適安全便利的家,Shared room,746.0,1.0,4.0,No parties,1
Bemidji,Sun bedroom off prospect park,Private room,627.0,3.0,2.0,No visitors,1
St. George,Private room in two-bedroom city apartment,Private room,1191.0,1.0,3.0,No pets,2
Hilo,Heart of city! sun furn 1 br wifi,Entire home/apt,235.0,3.0,1.0,No parties & No pets,2
Hyannis,Architect's bedroom in large city apartment,Private room,112.0,7.0,4.0,No pets,1
Medford,Entire 2nd floor with private bath,Private room,1095.0,14.0,4.0,No smoking & No visitors & No children under 10,2
Wenatchee,"Modern, spacious hideaway in historic city",Entire home/apt,386.0,6.0,3.0,No pets & No parties,2
Knoxville,Cozy private room in chinatown/ lower east side,Private room,132.0,7.0,4.0,No pets & No visitors,2
Waco,Sonder | 21 neighborhood | central 1br + rooftop,Entire home/apt,1105.0,29.0,3.0,No visitors & No smoking & No children under 10,9
Staunton,Spacious neighborhood apartment,Entire home/apt,1001.0,90.0,4.0,No children under 10,9
Pellston,Beautiful apartment ~25min from downtownuare,Entire home/apt,571.0,5.0,5.0,No smoking & No visitors,5
Bemidji,Söderläge - spacious queen bedroom in neighborhood,Private room,668.0,1.0,4.0,No parties,2
Dubuque,Modern furnished 2-bedroom city apartment!,Entire home/apt,647.0,30.0,1.0,No smoking,3
Oklahoma City,Beautiful duplex in city,Entire home/apt,1185.0,7.0,4.0,No pets,2
Kotzebue,Private room,Private room,270.0,5.0,4.0,No pets,2
