flight_number,price,departure_time,arrival_time,actual_elapsed_time,flight_date,departure_city,arrival_city,distance
F3487782,59,15:45,16:39,0 hours 54 minutes,2022-03-29,Knoxville,Atlanta,152.0
F3487786,68,15:53,16:51,0 hours 58 minutes,2022-03-30,Knoxville,Atlanta,152.0
F3490074,26,11:59,12:40,0 hours 41 minutes,2022-03-07,Chattanooga,Atlanta,106.0
F3490075,38,11:47,12:36,0 hours 49 minutes,2022-03-08,Chattanooga,Atlanta,106.0
F3490076,37,11:47,12:34,0 hours 47 minutes,2022-03-09,Chattanooga,Atlanta,106.0
F3490326,67,12:55,14:21,1 hours 26 minutes,2022-03-07,Boston,New York,184.0
F3490327,46,12:53,14:13,1 hours 20 minutes,2022-03-08,Boston,New York,184.0
F3490328,43,12:54,14:17,1 hours 23 minutes,2022-03-09,Boston,New York,184.0
F3490329,38,12:54,14:02,1 hours 8 minutes,2022-03-10,Boston,New York,184.0
F3490330,78,12:57,14:16,1 hours 19 minutes,2022-03-11,Boston,New York,184.0
F3491625,229,10:17,12:36,2 hours 19 minutes,2022-03-13,Atlanta,West Palm Beach,545.0
F3491626,137,13:56,16:02,2 hours 6 minutes,2022-03-13,West Palm Beach,Atlanta,545.0
F3491627,140,10:19,12:05,1 hours 46 minutes,2022-03-14,Atlanta,West Palm Beach,545.0
F3491628,160,13:16,14:59,1 hours 43 minutes,2022-03-14,West Palm Beach,Atlanta,545.0
F3491629,147,10:27,12:06,1 hours 39 minutes,2022-03-15,Atlanta,West Palm Beach,545.0
F3491630,229,13:29,15:23,1 hours 54 minutes,2022-03-15,West Palm Beach,Atlanta,545.0
F3491757,95,21:30,22:50,1 hours 20 minutes,2022-03-15,Minneapolis,St. Louis,448.0
F3491758,146,21:31,22:51,1 hours 20 minutes,2022-03-16,Minneapolis,St. Louis,448.0
F3491759,152,21:30,22:55,1 hours 25 minutes,2022-03-17,Minneapolis,St. Louis,448.0
F3492831,175,20:59,21:47,1 hours 48 minutes,2022-03-24,Atlanta,Chicago,606.0
F3492832,162,20:52,21:46,1 hours 54 minutes,2022-03-25,Atlanta,Chicago,606.0
F3492833,271,19:16,20:16,2 hours 0 minutes,2022-03-26,Atlanta,Chicago,606.0
F3494182,305,09:38,11:35,1 hours 57 minutes,2022-03-02,Atlanta,Buffalo,712.0
F3494231,428,20:30,22:47,4 hours 17 minutes,2022-03-18,New York,Denver,1626.0
F3494232,727,21:08,01:28,6 hours 20 minutes,2022-03-19,New York,Denver,1626.0
F3494233,777,19:59,22:41,4 hours 42 minutes,2022-03-20,New York,Denver,1626.0
F3494234,553,19:58,22:31,4 hours 33 minutes,2022-03-21,New York,Denver,1626.0
F3494235,753,19:53,22:21,4 hours 28 minutes,2022-03-22,New York,Denver,1626.0
F3494344,148,09:20,10:59,1 hours 39 minutes,2022-03-13,West Palm Beach,Atlanta,545.0
F3494345,196,09:08,10:51,1 hours 43 minutes,2022-03-14,West Palm Beach,Atlanta,545.0
F3494346,155,09:14,10:58,1 hours 44 minutes,2022-03-15,West Palm Beach,Atlanta,545.0
F3495048,154,14:45,16:57,2 hours 12 minutes,2022-03-13,Atlanta,West Palm Beach,545.0
F3495049,140,18:12,20:07,1 hours 55 minutes,2022-03-13,West Palm Beach,Atlanta,545.0
F3495050,180,14:42,16:18,1 hours 36 minutes,2022-03-14,Atlanta,West Palm Beach,545.0
F3495051,183,17:36,19:18,1 hours 42 minutes,2022-03-14,West Palm Beach,Atlanta,545.0
F3495052,180,15:04,16:37,1 hours 33 minutes,2022-03-15,Atlanta,West Palm Beach,545.0
F3495053,154,17:57,19:43,1 hours 46 minutes,2022-03-15,West Palm Beach,Atlanta,545.0
F3496477,411,15:30,22:51,4 hours 21 minutes,2022-03-18,Los Angeles,Detroit,1979.0
